Symbol, Date, Open, High, Low, Close, Volume
AAA,20140102,50.1,50.1,50.09,50.09,1231
AAC,20140102,1.265,1.29,1.235,1.235,364934
AAD,20140102,2.01,2.07,2.01,2.05,1286728
AAX,20140102,0.635,0.64,0.62,0.625,881405
ABC,20140102,3.66,3.73,3.66,3.69,338543
ABP,20140102,2.34,2.36,2.32,2.34,496205
ABU,20140102,0.022,0.023,0.021,0.021,3698023
ABY,20140102,0.335,0.34,0.335,0.34,17300
ABZ,20140102,0.23,0.235,0.23,0.23,463805
ACB,20140102,0.047,0.047,0.047,0.047,10500
ACG,20140102,0.17,0.17,0.165,0.165,537404
ACL,20140102,0.59,0.6,0.585,0.6,122719
ACP,20140102,0.12,0.12,0.11,0.11,50000
ACR,20140102,2.57,2.6,2.53,2.54,240401
ADJ,20140102,0.115,0.115,0.11,0.11,499194
ADN,20140102,0.064,0.064,0.064,0.064,30000
ADO,20140102,0.16,0.18,0.16,0.175,11730426
ADX,20140102,0.015,0.015,0.014,0.015,350000
AEB,20140102,0.19,0.19,0.185,0.19,94554
AEE,20140102,0.039,0.039,0.038,0.038,601000
AEM,20140102,0.013,0.013,0.012,0.012,21977
AEU,20140102,1.53,1.54,1.53,1.54,213053
AFA,20140102,0.095,0.095,0.095,0.095,17350
AFI,20140102,6.25,6.29,6.24,6.26,131584
AFJ,20140102,1.15,1.215,1.14,1.215,214655
AFR,20140102,0.115,0.115,0.115,0.115,10000
AGF,20140102,0.825,0.83,0.82,0.83,116407
AGG,20140102,2.74,2.74,2.73,2.74,383
AGI,20140102,4.39,4.46,4.38,4.38,28515
AGK,20140102,15.03,15.08,14.92,15.02,405506
AGO,20140102,1.16,1.19,1.16,1.175,4980393
AGR,20140102,0.055,0.06,0.055,0.06,215026
AGS,20140102,0.14,0.16,0.14,0.145,954392
AGX,20140102,0.017,0.017,0.017,0.017,50000
AHD,20140102,8.15,8.3,8.14,8.25,59909
AHE,20140102,3.76,3.9,3.76,3.87,216851
AHZ,20140102,0.155,0.175,0.15,0.165,17182823
AIA,20140102,3.25,3.35,3.21,3.24,17183
AIO,20140102,5.73,5.835,5.73,5.77,1102821
AIW,20140102,0.005,0.005,0.005,0.005,380000
AIX,20140102,0.005,0.005,0.005,0.005,3226181
AIZ,20140102,1.465,1.48,1.465,1.48,427
AJA,20140102,3.43,3.45,3.43,3.44,59111
AJD,20140102,1.035,1.04,1.03,1.04,67634
AJL,20140102,1.1,1.1,1.05,1.09,57250
AJM,20140102,0.135,0.14,0.135,0.135,160000
AJX,20140102,0.175,0.175,0.17,0.175,127747
AKK,20140102,0.012,0.012,0.012,0.012,1650000
AKM,20140102,0.056,0.062,0.056,0.062,94300
AKP,20140102,3.62,3.62,3.62,3.62,700
ALA,20140102,0.17,0.17,0.17,0.17,70000
ALF,20140102,1.68,1.695,1.68,1.69,96862
ALK,20140102,0.345,0.35,0.34,0.34,172808
ALL,20140102,4.69,4.69,4.58,4.66,930684
ALQ,20140102,8.8,8.94,8.72,8.89,803692
ALR,20140102,1.36,1.37,1.35,1.35,31000
ALT,20140102,0.027,0.029,0.025,0.026,6510450
ALU,20140102,2.3,2.4,2.24,2.29,91455
ALY,20140102,0.027,0.027,0.027,0.027,7585
ALZ,20140102,3.87,3.89,3.85,3.86,451180
AMA,20140102,0.34,0.34,0.33,0.33,175656
AMC,20140102,10.54,10.62,10.54,10.59,1681440
AMH,20140102,0.92,0.92,0.92,0.92,3324
AMM,20140102,2.18,2.18,2.16,2.17,415117
AMP,20140102,4.42,4.45,4.41,4.43,2376305
AMX,20140102,0.135,0.135,0.13,0.13,1115094
ANG,20140102,3.65,3.74,3.59,3.7,82200
ANI,20140102,2.03,2.03,2.03,2.03,22540
ANN,20140102,20.73,20.95,20.71,20.83,362628
ANO,20140102,0.014,0.014,0.014,0.014,75000
ANP,20140102,0.15,0.15,0.15,0.15,58000
ANQ,20140102,0.009,0.009,0.009,0.009,67000
ANW,20140102,0.007,0.008,0.007,0.008,485000
