Date,Symbol,Open,High,Low,Close,Volume,extra,Moving Avg 30,Moving Avg 90
2014-01-02,ABC,3.66,3.73,3.66,3.69,338543,,3.67433333333,3.64155555556
2014-01-03,ABC,3.67,3.68,3.65,3.65,364399,,3.66933333333,3.64355555556
2014-01-06,ABC,3.66,3.705,3.64,3.65,557864,,3.66533333333,3.64688888889
2014-01-07,ABC,3.69,3.73,3.65,3.73,567039,,3.66366666667,3.65144444444
2014-01-08,ABC,3.76,3.77,3.71,3.74,1584930,,3.66133333333,3.65577777778
2014-01-09,ABC,3.75,3.76,3.72,3.74,857229,,3.65733333333,3.65877777778
2014-01-10,ABC,3.75,3.77,3.745,3.76,566040,,3.65466666667,3.66111111111
2014-01-13,ABC,3.75,3.77,3.72,3.72,904375,,3.65066666667,3.66333333333
2014-01-14,ABC,3.72,3.72,3.61,3.63,1599421,,3.64266666667,3.66488888889
2014-01-15,ABC,3.67,3.75,3.65,3.74,892304,,3.641,3.66777777778
2014-01-16,ABC,3.73,3.84,3.72,3.84,1241270,,3.646,3.67211111111
2014-01-17,ABC,3.84,3.855,3.75,3.75,645512,,3.64766666667,3.67477777778
2014-01-20,ABC,3.75,3.785,3.73,3.78,604848,,3.651,3.677
2014-01-21,ABC,3.78,3.825,3.74,3.81,735010,,3.65666666667,3.67955555556
2014-01-22,ABC,3.81,3.815,3.75,3.75,695673,,3.662,3.68211111111
2014-01-23,ABC,3.74,3.76,3.65,3.67,864077,,3.66666666667,3.68344444444
2014-01-24,ABC,3.67,3.72,3.66,3.68,567322,,3.67033333333,3.68488888889
2014-01-28,ABC,3.68,3.68,3.61,3.62,1006232,,3.67266666667,3.68577777778
2014-01-29,ABC,3.66,3.71,3.66,3.7,1085641,,3.67466666667,3.68688888889
2014-01-30,ABC,3.66,3.71,3.62,3.7,1346866,,3.681,3.68811111111
2014-01-31,ABC,3.71,3.78,3.68,3.78,917205,,3.689,3.69088888889
2014-02-03,ABC,3.74,3.81,3.715,3.8,1172778,,3.69533333333,3.69366666667
2014-02-04,ABC,3.76,3.81,3.74,3.77,1782903,,3.70466666667,3.696
2014-02-05,ABC,3.77,3.775,3.72,3.75,1411926,,3.71033333333,3.69677777778
2014-02-06,ABC,3.73,3.8,3.71,3.79,664060,,3.71666666667,3.69777777778
2014-02-07,ABC,3.8,3.87,3.73,3.87,1052694,,3.72466666667,3.69977777778
2014-02-10,ABC,3.88,3.97,3.85,3.94,1630509,,3.73333333333,3.70288888889
2014-02-11,ABC,3.93,3.97,3.92,3.97,1325302,,3.744,3.70677777778
2014-02-12,ABC,3.98,4.08,3.96,4.05,1137084,,3.758,3.71088888889
2014-02-13,ABC,4.07,4.145,3.98,3.99,2064676,,3.76866666667,3.71411111111
2014-02-14,ABC,4.02,4.06,3.98,4.06,1417812,,3.781,3.71944444444
2014-02-17,ABC,4.11,4.11,4.02,4.05,1063868,,3.79433333333,3.72488888889
2014-02-18,ABC,4.01,4.04,3.95,3.97,1356138,,3.805,3.72944444444
2014-02-19,ABC,4.03,4.07,3.99,4.07,1549855,,3.81633333333,3.73511111111
2014-02-20,ABC,4.1,4.24,4.1,4.17,2223458,,3.83066666667,3.74122222222
2014-02-21,ABC,4.2,4.325,4.19,4.3,2168804,,3.84933333333,3.749
2014-02-24,ABC,4.33,4.34,4.27,4.3,1866240,,3.86733333333,3.75611111111
2014-02-25,ABC,4.34,4.34,4.24,4.26,1116633,,3.88533333333,3.76288888889
2014-02-26,ABC,4.27,4.34,4.25,4.33,969745,,3.90866666667,3.77066666667
2014-02-27,ABC,4.31,4.395,4.27,4.37,1759969,,3.92966666667,3.77855555556
2014-02-28,ABC,4.25,4.26,4.13,4.18,2191782,,3.941,3.784
2014-03-03,ABC,4.21,4.27,4.13,4.26,2230473,,3.958,3.79077777778
2014-03-04,ABC,4.26,4.26,4.17,4.18,1748817,,3.97133333333,3.79666666667
2014-03-05,ABC,4.19,4.31,4.185,4.26,1963432,,3.98633333333,3.80311111111
2014-03-06,ABC,4.25,4.31,4.225,4.3,1184527,,4.00466666667,3.81022222222
2014-03-07,ABC,4.3,4.375,4.29,4.35,921451,,4.02733333333,3.81711111111
2014-03-10,ABC,4.35,4.36,4.26,4.29,950972,,4.04766666667,3.82344444444
2014-03-11,ABC,4.27,4.3,4.225,4.28,973975,,4.06966666667,3.83022222222
2014-03-12,ABC,4.26,4.26,4.2,4.24,1263604,,4.08766666667,3.83455555556
2014-03-13,ABC,4.24,4.36,4.21,4.34,1302600,,4.109,3.84055555556
2014-03-14,ABC,4.14,4.16,3.75,3.75,11647701,,4.108,3.84
2014-03-17,ABC,3.8,3.875,3.65,3.78,5773662,,4.10733333333,3.84088888889
2014-03-18,ABC,3.78,3.81,3.7,3.75,4043465,,4.10666666667,3.84088888889
2014-03-19,ABC,3.73,3.84,3.73,3.82,4101588,,4.109,3.84111111111
2014-03-20,ABC,3.75,3.82,3.74,3.82,3386737,,4.11,3.84133333333
2014-03-21,ABC,3.8,3.91,3.77,3.91,3996987,,4.11133333333,3.843
2014-03-24,ABC,3.85,3.86,3.8,3.83,3059799,,4.10766666667,3.844
2014-03-25,ABC,3.8,3.87,3.8,3.87,2749305,,4.10433333333,3.84588888889
2014-03-26,ABC,3.87,3.92,3.85,3.89,2950978,,4.099,3.847
2014-03-27,ABC,3.84,3.935,3.84,3.93,1977918,,4.097,3.84822222222
2014-03-28,ABC,3.94,3.975,3.91,3.96,2467243,,4.09366666667,3.84966666667
2014-03-31,ABC,3.97,4.015,3.97,4.01,2149442,,4.09233333333,3.852
2014-04-01,ABC,4.03,4.03,3.93,3.98,1861620,,4.09266666667,3.85433333333
2014-04-02,ABC,4.0,4.005,3.94,3.99,1881917,,4.09,3.85666666667
2014-04-03,ABC,4.0,4.0,3.91,3.98,2131665,,4.08366666667,3.85855555556
2014-04-04,ABC,3.95,3.95,3.85,3.89,3060813,,4.07,3.85888888889
2014-04-07,ABC,3.86,3.93,3.84,3.91,1826495,,4.057,3.85966666667
2014-04-08,ABC,3.89,3.92,3.87,3.91,1627566,,4.04533333333,3.86044444444
2014-04-09,ABC,3.91,3.99,3.89,3.96,2003709,,4.033,3.86144444444
2014-04-10,ABC,3.97,3.99,3.93,3.99,1773563,,4.02033333333,3.86366666667
2014-04-11,ABC,3.92,3.96,3.9,3.92,1222207,,4.01166666667,3.86622222222
2014-04-14,ABC,3.9,3.92,3.84,3.84,1153982,,3.99766666667,3.86777777778
2014-04-15,ABC,3.83,3.88,3.83,3.85,1532037,,3.98666666667,3.86966666667
2014-04-16,ABC,3.85,3.89,3.83,3.87,1486124,,3.97366666667,3.87222222222
2014-04-17,ABC,3.9,3.91,3.86,3.9,1037684,,3.96033333333,3.87566666667
2014-04-22,ABC,3.94,3.98,3.9,3.93,1625775,,3.94633333333,3.88011111111
2014-04-23,ABC,3.91,3.97,3.9,3.91,1357413,,3.93366666667,3.88388888889
2014-04-24,ABC,3.95,3.975,3.92,3.93,1616431,,3.922,3.88811111111
2014-04-28,ABC,3.92,3.98,3.91,3.97,1609083,,3.913,3.89177777778
2014-04-29,ABC,3.98,3.98,3.85,3.88,1474470,,3.89766666667,3.89588888889
2014-04-30,ABC,3.89,3.91,3.86,3.91,1546985,,3.903,3.9
2014-05-01,ABC,3.92,3.93,3.805,3.82,1374526,,3.90433333333,3.90233333333
2014-05-02,ABC,3.81,3.88,3.78,3.87,1584785,,3.90833333333,3.90655555556
2014-05-05,ABC,3.85,3.94,3.83,3.93,2201405,,3.912,3.91044444444
2014-05-06,ABC,3.9,3.94,3.86,3.89,643710,,3.91433333333,3.91366666667
2014-05-07,ABC,3.88,3.89,3.805,3.81,1357615,,3.911,3.91566666667
2014-05-08,ABC,3.84,3.9,3.84,3.88,918172,,3.91266666667,3.91788888889
2014-05-09,ABC,3.84,3.84,3.805,3.82,591355,,3.911,3.91977777778
