Date,Close,Volume,SMA
2/01/2014,3.69,338543,
3/01/2014,3.65,364399,
6/01/2014,3.65,557864,
7/01/2014,3.73,567039,
8/01/2014,3.74,1584930,
9/01/2014,3.74,857229,
10/01/2014,3.76,566040,
13/01/2014,3.72,904375,
14/01/2014,3.63,1599421,
15/01/2014,3.74,892304,
16/01/2014,3.84,1241270,
17/01/2014,3.75,645512,
20/01/2014,3.78,604848,
21/01/2014,3.81,735010,
22/01/2014,3.75,695673,
23/01/2014,3.67,864077,
24/01/2014,3.68,567322,
28/01/2014,3.62,1006232,
29/01/2014,3.7,1085641,
30/01/2014,3.7,1346866,
31/01/2014,3.78,917205,
3/02/2014,3.8,1172778,
4/02/2014,3.77,1782903,
5/02/2014,3.75,1411926,
6/02/2014,3.79,664060,
7/02/2014,3.87,1052694,
10/02/2014,3.94,1630509,
11/02/2014,3.97,1325302,
12/02/2014,4.05,1137084,
13/02/2014,3.99,2064676,3.768666666666667
14/02/2014,4.06,1417812,3.7809999999999997
17/02/2014,4.05,1063868,3.7943333333333333
18/02/2014,3.97,1356138,3.805
19/02/2014,4.07,1549855,3.8163333333333336
20/02/2014,4.17,2223458,3.8306666666666667
21/02/2014,4.3,2168804,3.849333333333333
24/02/2014,4.3,1866240,3.8673333333333333
25/02/2014,4.26,1116633,3.8853333333333335
26/02/2014,4.33,969745,3.908666666666666
27/02/2014,4.37,1759969,3.929666666666667
28/02/2014,4.18,2191782,3.941
3/03/2014,4.26,2230473,3.9579999999999997
4/03/2014,4.18,1748817,3.971333333333333
5/03/2014,4.26,1963432,3.986333333333333
6/03/2014,4.3,1184527,4.004666666666666
7/03/2014,4.35,921451,4.027333333333333
10/03/2014,4.29,950972,4.047666666666666
11/03/2014,4.28,973975,4.0696666666666665
12/03/2014,4.24,1263604,4.087666666666666
13/03/2014,4.34,1302600,4.109
14/03/2014,3.75,11647701,4.1080000000000005
17/03/2014,3.78,5773662,4.107333333333333
18/03/2014,3.75,4043465,4.1066666666666665
19/03/2014,3.82,4101588,4.108999999999999
20/03/2014,3.82,3386737,4.109999999999999
21/03/2014,3.91,3996987,4.111333333333333
24/03/2014,3.83,3059799,4.107666666666666
25/03/2014,3.87,2749305,4.104333333333332
26/03/2014,3.89,2950978,4.098999999999999
27/03/2014,3.93,1977918,4.0969999999999995
28/03/2014,3.96,2467243,4.093666666666666
31/03/2014,4.01,2149442,4.0923333333333325
1/04/2014,3.98,1861620,4.092666666666667
2/04/2014,3.99,1881917,4.09
3/04/2014,3.98,2131665,4.083666666666667
4/04/2014,3.89,3060813,4.069999999999999
7/04/2014,3.91,1826495,4.0569999999999995
8/04/2014,3.91,1627566,4.045333333333333
9/04/2014,3.96,2003709,4.0329999999999995
