Date,Close,Volume
2/01/2014,3.69,338543
3/01/2014,3.65,364399
6/01/2014,3.65,557864
7/01/2014,3.73,567039
8/01/2014,3.74,1584930
9/01/2014,3.74,857229
10/01/2014,3.76,566040
13/01/2014,3.72,904375
14/01/2014,3.63,1599421
15/01/2014,3.74,892304
16/01/2014,3.84,1241270
17/01/2014,3.75,645512
20/01/2014,3.78,604848
21/01/2014,3.81,735010
22/01/2014,3.75,695673
23/01/2014,3.67,864077
24/01/2014,3.68,567322
28/01/2014,3.62,1006232
29/01/2014,3.7,1085641
30/01/2014,3.7,1346866
31/01/2014,3.78,917205
3/02/2014,3.8,1172778
4/02/2014,3.77,1782903
5/02/2014,3.75,1411926
6/02/2014,3.79,664060
7/02/2014,3.87,1052694
10/02/2014,3.94,1630509
11/02/2014,3.97,1325302
12/02/2014,4.05,1137084
13/02/2014,3.99,2064676
14/02/2014,4.06,1417812
17/02/2014,4.05,1063868
18/02/2014,3.97,1356138
19/02/2014,4.07,1549855
20/02/2014,4.17,2223458
21/02/2014,4.3,2168804
24/02/2014,4.3,1866240
25/02/2014,4.26,1116633
26/02/2014,4.33,969745
27/02/2014,4.37,1759969
28/02/2014,4.18,2191782
3/03/2014,4.26,2230473
4/03/2014,4.18,1748817
5/03/2014,4.26,1963432
6/03/2014,4.3,1184527
7/03/2014,4.35,921451
10/03/2014,4.29,950972
11/03/2014,4.28,973975
12/03/2014,4.24,1263604
13/03/2014,4.34,1302600
14/03/2014,3.75,11647701
17/03/2014,3.78,5773662
18/03/2014,3.75,4043465
19/03/2014,3.82,4101588
20/03/2014,3.82,3386737
21/03/2014,3.91,3996987
24/03/2014,3.83,3059799
25/03/2014,3.87,2749305
26/03/2014,3.89,2950978
27/03/2014,3.93,1977918
28/03/2014,3.96,2467243
31/03/2014,4.01,2149442
1/04/2014,3.98,1861620
2/04/2014,3.99,1881917
3/04/2014,3.98,2131665
4/04/2014,3.89,3060813
7/04/2014,3.91,1826495
8/04/2014,3.91,1627566
9/04/2014,3.96,2003709
10/04/2014,3.99,1773563
11/04/2014,3.92,1222207
14/04/2014,3.84,1153982
15/04/2014,3.85,1532037
16/04/2014,3.87,1486124
17/04/2014,3.9,1037684
22/04/2014,3.93,1625775
23/04/2014,3.91,1357413
24/04/2014,3.93,1616431
28/04/2014,3.97,1609083
29/04/2014,3.88,1474470
30/04/2014,3.91,1546985
1/05/2014,3.82,1374526
2/05/2014,3.87,1584785
5/05/2014,3.93,2201405
6/05/2014,3.89,643710
7/05/2014,3.81,1357615
8/05/2014,3.88,918172
9/05/2014,3.82,591355
12/05/2014,3.82,796655
13/05/2014,3.88,725294
14/05/2014,3.84,770889
15/05/2014,3.85,699417
16/05/2014,3.81,793862
19/05/2014,3.72,1625639
