Symbol,Date,Close,Volume
1PG,20151201,3.5,907674
1ST,20151201,0.11,20000
3DM,20151201,0.07,1399371
3PL,20151201,2.1,320882
88E,20151201,0.011,4717569
8CO,20151201,0.2,5500
8EC,20151201,1,10139
8IH,20151201,0.99,2030
A2M,20151201,1.06,6644515
AAA,20151201,50.1,59788
AAC,20151201,1.495,2198873
AAD,20151201,2.5,1713597
AAU,20151201,0.028,384849
AAX,20151201,0.265,65927
ABA,20151201,5.39,13208
ABC,20151201,4.41,1484449
ABP,20151201,2.91,1531603
ABU,20151201,0.076,360268
ABV,20151201,0.007,22879
ABX,20151201,0.24,141902
ABY,20151201,0.17,60602
ACB,20151201,0.021,573000
ACG,20151201,0.17,177150
ACL,20151201,0.093,317515
ACQ,20151201,0.82,64203
ACR,20151201,0.7,348280
ACU,20151201,0.135,927563
ACW,20151201,0.046,1106105
ACX,20151201,4.92,130531
ADA,20151201,2.06,96972
ADH,20151201,2.65,159665
ADJ,20151201,0.089,1778968
ADN,20151201,0.011,1107046
ADO,20151201,0.08,1192785
ADR,20151201,0.655,274996
ADV,20151201,0.014,2113708
ADX,20151201,0.004,200000
ADY,20151201,0.018,10000
AEE,20151201,0.015,190000
AEF,20151201,60.2,370
AEI,20151201,0.44,51077
AEV,20151201,0.125,191500
AFA,20151201,0.28,7500
AFG,20151201,1.05,12596
AFI,20151201,5.75,324803
AFJ,20151201,0.915,236471
AFR,20151201,0.054,70000
AGF,20151201,1.29,247488
AGI,20151201,2.39,837283
AGJ,20151201,0.075,125000
AGL,20151201,16.83,2163495
AGO,20151201,0.02,16570891
AGR,20151201,0.15,200116
AGS,20151201,0.03,2363955
AGX,20151201,0.013,65000
AHD,20151201,14.85,53197
AHF,20151201,0.145,822796
AHG,20151201,4.28,863745
AHL,20151201,0.58,1252773
AHQ,20151201,0.002,3700000
AHY,20151201,1.7,2251705
AHZ,20151201,0.74,157627
AIA,20151201,4.76,51682
AIK,20151201,0.1,13500
AIO,20151201,8.77,1846463
AIZ,20151201,2.54,18346
AJA,20151201,5.17,46959
AJD,20151201,1.28,321348
AJL,20151201,0.3,49901
AJM,20151201,0.044,1106841
AJQ,20151201,0.13,20000
AJR,20151201,0.001,2000000
AJX,20151201,0.83,384990
AKG,20151201,0.305,138000
AKM,20151201,0.012,532000
AKY,20151201,14.85,50
ALA,20151201,0.095,319776
ALF,20151201,1.335,333378
ALI,20151201,1.8,204263
ALK,20151201,0.24,172302
ALL,20151201,9.64,2937016
ALQ,20151201,3.68,11069410
